original_column,canonical_column
Holiday Inn Sector 90,Holiday Inn Sector 90
Hong Kong Bazaar,Hong Kong Bazaar
Horizon 1 Mall,Horizon 1 Mall
Hotel Golf View Suites,Hotel Golf View Suites
Huda City Centre,Huda City Centre
Huda city center,Huda City Centre
Huda City Centre Metro Station,Huda City Centre Metro Station
Huda Metro station,Huda Metro Station
Huda metro station,Huda Metro Station
Huda Metro Station,Huda Metro Station
HUDA Metro Station,Huda Metro Station
Huda Metro Station (Gurugram),Huda Metro Station (Gurugram)
Huda Park,Huda Park
Hyatt Place,Hyatt Place
Hyatt Place Gurgaon Udyog Vihar,Hyatt Place Gurgaon Udyog Vihar
Hyatt Regency,Hyatt Regency
Hyatt Regency Gurgaon,Hyatt Regency Gurgaon
Hyatt Regency Gurugram,Hyatt Regency Gurugram
Hyatt Regency Hotel,Hyatt Regency Hotel
ICFAI University,ICFAI University
ICICI ATM,ICICI ATM
"ICICI BANK ATM, Annapurna MKT","ICICI BANK ATM, Annapurna MKT"
ICICI Bank,ICICI Bank
ICICI Bank ATM,ICICI Bank ATM
"ICICI Bank ATM, Sector 86","ICICI Bank ATM, Sector 86"
IDFC FIRST Bank,IDFC FIRST Bank
Iffco Chowk,IFFCO Chowk
IFFCO Chowk,IFFCO Chowk
IFFCO Chowk Metro Station,IFFCO Chowk Metro Station
Iffco Chowk Metro Station,IFFCO Chowk Metro Station
International Airport,IG International Airport
IG International Airport,IG International Airport
IGIA Airport,IGIA Airport
IGI Airport,IGIA Airport
IILM School of Management,IILM School of Management
"IILM University, Gurugram","IILM University, Gurugram"
Imt Manesar,IMT Manesar
IMT Manesar,IMT Manesar
IMT Office Sohna,IMT Office Sohna
IMT Road,IMT Road
IMT Sohna,IMT Sohna
INOX Cinema,INOX Cinema
INXT High Street,INXT High Street
ISBM College,ISBM College
ISKCON,ISKCON
ISKCON Temple,ISKCON Temple
Ibis Hotel,Ibis Hotel
Idea Cosmic Plaza,Idea Cosmic Plaza
Imperfecto Patio,Imperfecto Patio
Imperia Mindspace,Imperia Mindspace
Imperial Heritage School,Imperial Heritage School
Imperio School,Imperio School
"Imt Manesar, Gurugram","Imt Manesar, Gurugram"
Indian School of Hospitality,Indian School of Hospitality
"IndianOil, Hasanpur","IndianOil, Hasanpur"
"Indianoil, Sohna - Gurgaon Rd","Indianoil, Sohna - Gurgaon Rd"
Indira Gandhi Airport,Indira Gandhi Airport
Indira Gandhi Eye Hospital,Indira Gandhi Eye Hospital
Indira Gandhi Int. Airport,Indira Gandhi Int. Airport
Indira Gandhi International Airport,Indira Gandhi International Airport
Indira Gandhi Intl Airport,Indira Gandhi International Airport
Indus World School,Indus World School
Indus valley Public School,Indus valley Public School
IndusInd Bank,IndusInd Bank
IndusInd Bank ATM,IndusInd Bank ATM
infinity Business Park,Infinity Business Park
Infinity Business Park,Infinity Business Park
InfinityS Badminton Academy,InfinityS Badminton Academy
Infinitys Badminton Academy,InfinityS Badminton Academy
Info Technology Park Phase 2,Info Technology Park Phase 2
Insfire Sports,Insfire Sports
International Tech Park Gurgaon,"International Tech Park Gurgaon,"
"International Tech Park Gurgaon,","International Tech Park Gurgaon,"
Iris Broadway Gurugram,Iris Broadway Gurugram
Iris Broadway Mall,Iris Broadway Mall
IRIS Broadway Mall,Iris Broadway Mall
JMD Megapolis,JMD Megapolis
JMD Regent Mall,JMD Regent Mall
JMS Crosswalk,JMS Crosswalk
JMS Marine Square,JMS Marine Square
JMS Marine Square Mall,JMS Marine Square Mall
Jadon Pharmacy,Jadon Pharmacy
Jagdish Super Market,Jagdish Super Market
Jai Sai Ram Hospital,Jai Sai Ram Hospital
Jhankar Group of Institutions,Jhankar Group of Institutions
Jhankar Senior Secondary School,Jhankar Senior Secondary School
Jharsha Chowk,Jharsha Chowk
Jinaglala Theme Park,Jinaglala Theme Park
Jinga Lala Theme Park Gurgaon Delhi,Jinga Lala Theme Park Gurgaon Delhi
Jungle Safari & Trails,Jungle Safari & Trails
K. R. Mangalam University,K. R. Mangalam University
K.R. Mangalam University,K. R. Mangalam University
KR Mangalam University,K. R. Mangalam University
MKD Hospital,K.D. Hospital
K.D. Hospital,K.D. Hospital
K.R.Mangalam World School,K.R.Mangalam World School
"KDM Public School, Sohna","KDM Public School, Sohna"
KFG Sports Club,KFG Sports Club
KFG sports club Parking,KFG sports club Parking
KIIT College,KIIT College
KIIT College of Engineering,KIIT College of Engineering
KIIT College of Engineering Sohna Road,KIIT College of Engineering Sohna Road
KLAY Play School,KLAY Play School
KMP Corridor,KMP Corridor
KMP corridor,KMP Corridor
KMP Expressway,KMP Expressway
KR Mangalam,KR Mangalam
KR Mangalam University Sohna,KR Mangalam University Sohna
Kadipur Industrial Area,Kadipur Industrial Area
Kamal Hospital,Kamal Hospital
Kangaroo Kids Preschool,Kangaroo Kids Preschool
Karma Lakelands,Karma Lakelands
Keshav Pharmacy,Keshav Pharmacy
Khatu Shyam Mandir,Khatu Shyam Mandir
Kheri Railway station,Kheri Railway station
Kidzee,Kidzee
Kidzee Sec-93,Kidzee Sec-93
Kinder Care Playschool,Kinder Care Playschool
Kingdom of Dreams,Kingdom of Dreams
Kings International School,Kings International School
Knowledge Tree World School,Knowledge Tree World School
"Kotak Mahindra Bank, MBS Tower","Kotak Mahindra Bank, MBS Tower"
Krishna Hospital,Krishna Hospital
Kriti Hospital,Kriti Hospital
Kundli Manesar Palwal Expressway,Kundli Manesar Palwal Expressway
Kunskapsskolan International,Kunskapsskolan International
Kunskapsskolan School,Kunskapsskolan School
Kutumbh Hospital,Kutumbh Hospital
Lancers International School,Lancers International School
Le Meridien Gurgaon,Le Meridien Gurgaon
Learning Stars School,Learning Stars School
Leisure Valley Park,Leisure Valley Park
Lemon Tree Hotel Sector 60,Lemon Tree Hotel Sector 60
"Lemon Tree Hotel,","Lemon Tree Hotel,"
Lemon Tree Hotel,"Lemon Tree Hotel,"
"Lemon Tree Hotel, Sohna Road","Lemon Tree Hotel, Sohna Road"
Leopard hills,Leopard hills
Lingaya's Lalita Devi Institute,Lingaya's Lalita Devi Institute
Lions Public School,Lions Public School
Little E Step –Pre School,Little E Step –Pre School
Lotus Sports Academy,Lotus Sports Academy
Lotus Valley International School,Lotus Valley International School
"Lotus Valley Intl School, Gurgaon","Lotus Valley Intl School, Gurgaon"
Lotus Valley School,Lotus Valley School
Lovely Public School,Lovely Public School
Luxus Haritma Resort,Luxus Haritma Resort
M3M Cosmopolitan,M3M Cosmopolitan
M3M Cosmopolitan Mall,M3M Cosmopolitan Mall
M3M IFC,M3M IFC
M3M International Financial Center (IFC),M3M International Financial Center (IFC)
M3M SCO Shop cum Office,M3M SCO Shop cum Office
M3m 65th Avenue Mall,M3m 65th Avenue Mall
MCC Cricket Ground Dhankot,MCC Cricket Ground Dhankot
MDS Public School,MDS Public School
MG Road,MG Road
MG Road Metro Station,MG Road Metro Station
MGF Megacity Mall,MGF Megacity Mall
MGF Metropolitan Mall,MGF Metropolitan Mall
Maharana pratap school,Maharana pratap school
Mall Fifty One,Mall Fifty One
Mamta Hospital,Mamta Hospital
Manav Rachna School,Manav Rachna School
Manesar Bus Stand,Manesar Bus Stand
Manesar Golf Course,Manesar Golf Course
Manesar Road,Manesar Road
Manesar toll plaza - Kherki Daula,Manesar toll plaza - Kherki Daula
Manipal Hospital,Manipal Hospital
"Manipal Hospital, Gurugram","Manipal Hospital, Gurugram"
"Manipal Hospital, Palam Vihar","Manipal Hospital, Palam Vihar"
Manish Gallexie 91,Manish Gallexie 91
Marengo Asia Hospitals,Marengo Asia Hospitals
Marigold Secondary School,Marigold Secondary School
Marriott Courtyard,Marriott Courtyard
MatriKiran High School,Matrikiran High School
Matrikiran High School,Matrikiran High School
Matrikiran School,Matrikiran School
Mavens Inn,Mavens Inn
Mavens Orange - Hotel,Mavens Orange - Hotel
"Max, Fortis","Max, Fortis"
McDonald's India,McDonald's India
McDonald's India 24 Hours,McDonald's India 24 Hours
Medanta-The Medicity,Medanta - The Medicity
Medanta - The Medicity,Medanta - The Medicity
Medanta -The Medicity,Medanta - The Medicity
Medanta The Medicity,Medanta - The Medicity
Medanta Dialysis Center,Medanta Dialysis Center
Medanta Hospital,Medanta Hospital
"Medeor Hospital, Manesar","Medeor Hospital, Manesar"
Medhaam Pre School & Daycare,Medhaam Pre School & Daycare
Medicity,Medicity
Meditree Market,Meditree Market
Mehrauli-Gurgaon Road,Mehrauli-Gurgaon Road
Mehrauli-Gurgaon Rd,Mehrauli-Gurgaon Road
"Metro Hospital, Palam Vihar","Metro Hospital, Palam Vihar"
Metro Station Kankrola sec 87,Metro Station Kankrola sec 87
Metro World Mall,Metro World Mall
